,time,T,A2,Z,A1,C,A,B
0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,20.0
1,0.04125107333312243,0.0,1.0,0.0,1.0,15.0,24.0,20.0
2,0.05727434763139583,0.0,1.0,1.0,1.0,14.0,24.0,20.0
3,0.0639741184487202,0.0,2.0,1.0,2.0,14.0,23.0,20.0
4,0.07359996893762907,1.0,2.0,1.0,1.0,14.0,23.0,19.0
5,0.09017926717582975,1.0,3.0,1.0,2.0,14.0,22.0,19.0
6,0.09615091630017225,1.0,3.0,2.0,2.0,13.0,22.0,19.0
7,0.10122303415318405,1.0,3.0,3.0,2.0,12.0,22.0,19.0
8,0.10717369441548816,2.0,3.0,3.0,1.0,12.0,22.0,18.0
9,0.13824010468889725,2.0,3.0,4.0,1.0,11.0,22.0,18.0
10,0.16659045834010422,2.0,3.0,5.0,1.0,10.0,22.0,18.0
11,0.19181859237345772,3.0,3.0,5.0,0.0,10.0,22.0,17.0
12,0.21131932355391822,2.0,3.0,4.0,0.0,10.0,22.0,17.0
13,0.21273642943125637,2.0,4.0,4.0,1.0,10.0,21.0,17.0
14,0.21398971163347527,2.0,5.0,4.0,2.0,10.0,20.0,17.0
15,0.21917510673413187,2.0,6.0,4.0,3.0,10.0,19.0,17.0
16,0.25112561428920543,3.0,6.0,4.0,2.0,10.0,19.0,16.0
17,0.2639797967320818,4.0,6.0,4.0,1.0,10.0,19.0,15.0
18,0.2671030280867841,3.0,6.0,3.0,1.0,10.0,19.0,15.0
19,0.2783240755321407,3.0,7.0,3.0,2.0,10.0,18.0,15.0
20,0.280891206471117,4.0,7.0,3.0,1.0,10.0,18.0,14.0
21,0.28211818249704923,3.0,7.0,2.0,1.0,10.0,18.0,14.0
22,0.2890323609981328,4.0,7.0,2.0,0.0,10.0,18.0,13.0
23,0.3028443069551642,3.0,7.0,1.0,0.0,10.0,18.0,13.0
24,0.3368382466105602,3.0,8.0,1.0,1.0,10.0,17.0,13.0
25,0.39436887093543566,3.0,9.0,1.0,2.0,10.0,16.0,13.0
26,0.39866539233375514,4.0,9.0,1.0,1.0,10.0,16.0,12.0
27,0.4160537524490389,4.0,9.0,2.0,1.0,9.0,16.0,12.0
28,0.4188235419210566,4.0,10.0,2.0,2.0,9.0,15.0,12.0
29,0.42016190105361956,3.0,10.0,1.0,2.0,9.0,15.0,12.0
30,0.4275732300295222,4.0,10.0,1.0,1.0,9.0,15.0,11.0
31,0.4430979910402313,4.0,10.0,2.0,1.0,8.0,15.0,11.0
32,0.4869238363453174,4.0,11.0,2.0,2.0,8.0,14.0,11.0
33,0.4981436865820712,4.0,12.0,2.0,3.0,8.0,13.0,11.0
34,0.5063047627939423,5.0,12.0,2.0,2.0,8.0,13.0,10.0
35,0.5185158844162125,6.0,12.0,2.0,1.0,8.0,13.0,9.0
36,0.5310656393985594,6.0,12.0,3.0,1.0,7.0,13.0,9.0
37,0.5320821146512177,6.0,13.0,3.0,2.0,7.0,12.0,9.0
38,0.5608784163516906,6.0,14.0,3.0,3.0,7.0,11.0,9.0
39,0.6000701422733521,7.0,14.0,3.0,2.0,7.0,11.0,8.0
40,0.6011030459500835,7.0,15.0,3.0,3.0,7.0,10.0,8.0
41,0.6205503607487496,6.0,15.0,2.0,3.0,7.0,10.0,8.0
42,0.6357598204485592,7.0,15.0,2.0,2.0,7.0,10.0,7.0
43,0.6887409534353289,6.0,15.0,1.0,2.0,7.0,10.0,7.0
44,0.6892630736994327,7.0,15.0,1.0,1.0,7.0,10.0,6.0
45,0.6898918751151286,7.0,15.0,2.0,1.0,6.0,10.0,6.0
46,0.7399480227628826,6.0,15.0,1.0,1.0,6.0,10.0,6.0
47,0.7959393371114875,5.0,15.0,0.0,1.0,6.0,10.0,6.0
48,0.7987538179906165,5.0,16.0,0.0,2.0,6.0,9.0,6.0
49,0.8371494643735303,5.0,17.0,0.0,3.0,6.0,8.0,6.0
50,0.8592711835515571,6.0,17.0,0.0,2.0,6.0,8.0,5.0
51,1.0256965951695343,6.0,18.0,0.0,3.0,6.0,7.0,5.0
52,1.0450963005945229,6.0,19.0,0.0,4.0,6.0,6.0,5.0
53,1.0607869643256325,7.0,19.0,0.0,3.0,6.0,6.0,4.0
54,1.0703264925102376,7.0,20.0,0.0,4.0,6.0,5.0,4.0
55,1.0703426769809663,7.0,21.0,0.0,5.0,6.0,4.0,4.0
56,1.0718281350201169,7.0,21.0,1.0,5.0,5.0,4.0,4.0
57,1.0727811509022382,8.0,21.0,1.0,4.0,5.0,4.0,3.0
58,1.1172369013528187,9.0,21.0,1.0,3.0,5.0,4.0,2.0
59,1.1967214160656554,8.0,21.0,0.0,3.0,5.0,4.0,2.0
60,1.2144505749878216,9.0,21.0,0.0,2.0,5.0,4.0,1.0
61,1.2973303778832295,9.0,21.0,1.0,2.0,4.0,4.0,1.0
62,1.34646793552907,8.0,21.0,0.0,2.0,4.0,4.0,1.0
63,1.3625473008649909,8.0,21.0,1.0,2.0,3.0,4.0,1.0
64,1.4369897933626945,7.0,21.0,0.0,2.0,3.0,4.0,1.0
65,1.4663081689711015,8.0,21.0,0.0,1.0,3.0,4.0,0.0
66,1.5935118896865468,8.0,21.0,1.0,1.0,2.0,4.0,0.0
67,1.6658035188558116,8.0,22.0,1.0,2.0,2.0,3.0,0.0
68,1.895640583544589,7.0,22.0,0.0,2.0,2.0,3.0,0.0
69,1.9321919718735479,7.0,23.0,0.0,3.0,2.0,2.0,0.0
70,1.9787582688199772,7.0,24.0,0.0,4.0,2.0,1.0,0.0
71,2.1692991513627042,7.0,25.0,0.0,5.0,2.0,0.0,0.0
72,3.2708799185411292,7.0,25.0,1.0,5.0,1.0,0.0,0.0
73,3.291490479661098,6.0,25.0,0.0,5.0,1.0,0.0,0.0
74,3.5128704455230815,6.0,25.0,1.0,5.0,0.0,0.0,0.0
75,3.7891488895736147,5.0,25.0,0.0,5.0,0.0,0.0,0.0
